Tub,Tub,#,Date: Wet Weight,Initial Mass (g),Missing Limbs,1st Molt Date,1st Molt Exp Day,Date: Wet Weight,Mass 1 (g),Missing Limbs,2nd Molt Date,2nd Molt Exp Day,Date: Wet Weight,Mass 2 (g),Missing Limbs,3rd Molt Date,3rd Molt Exp Day,Date: Wet Weight,Mass 3 (g),Missing Limbs,4th Molt Date,4th Molt Exp Day,Date: Wet Weight,Mass 4 (g),Missing Limbs,5th Molt Date,5th Molt Exp Day,Date: Wet Weight,Mass 5 (g),Missing Limbs,Death Date,Death: Exp Day,Comments:
1,1,22,2012-08-01 00:00:00,0.0183,No,2012-08-21 00:00:00,17,2012-08-28 00:00:00,0.0291,No,2012-10-10 00:00:00,67,2012-10-17 00:00:00,0.0235,MR1,,,,,,,,,,,,,,,,2012-11-13 00:00:00,101,
1,1,23,2012-08-01 00:00:00,0.0276,No,2012-08-09 00:00:00,5,2012-08-16 00:00:00,0.0476,No,2012-09-10 00:00:00,37,2012-09-17 00:00:00,0.0576,No,,,,,,,,,,,,,,,,2012-11-07 00:00:00,95,
1,1,24,2012-08-01 00:00:00,0.019,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0309,No,,,,,,,,,,,,,,,,,,,,,2012-08-31 00:00:00,27,
1,1,25,2012-08-01 00:00:00,0.0174,No,2012-08-18 00:00:00,14,2012-08-25 00:00:00,0.0237,No,2012-09-25 00:00:00,52,2012-10-02 00:00:00,0.0195,MR1,2012-12-12 00:00:00,130,2013-12-19 00:00:00,0.0255,*,,,,,,,,,,,2013-12-28 00:00:00,146,12/5/12: ABD. 12/6/12-12/11/12: Crab molting. 12/26/12-12/27/12: Crab ADB. 12/19/12: During crabs wet weight it was found that multiple legs stuck from old molt and crab was desformed; cannot tell what is missing etc. -KS
1,1,26,2012-08-01 00:00:00,0.0181,No,2012-08-25 00:00:00,21,2012-09-01 00:00:00,0.0288,No,2012-10-07 00:00:00,64,2012-10-14 00:00:00,0.0337,No,,,,,,,,,,,,,,,,,,
1,1,27,2012-08-01 00:00:00,0.0282,No,2012-08-10 00:00:00,6,2012-08-17 00:00:00,0.0455,No,2012-09-20 00:00:00,47,2012-09-27 00:00:00,0.0413,No,2012-12-08 00:00:00,126,2012-12-15 00:00:00,0.0476,RR1,,,,,,,,,,,,,
1,1,28,2012-08-01 00:00:00,0.0185,No,2012-08-12 00:00:00,8,2012-08-19 00:00:00,0.0339,No,2012-09-13 00:00:00,40,2012-09-20 00:00:00,0.0394,No,2012-11-11 00:00:00,99,2012-11-18 00:00:00,0.0368,No,,,,,,,,,,,,,
1,1,29,2012-08-01 00:00:00,0.0285,No,2012-08-11 00:00:00,7,2012-08-18 00:00:00,0.054,No,2012-09-14 00:00:00,41,2012-09-21 00:00:00,0.0682,No,2012-11-08 00:00:00,96,2012-11-15 00:00:00,0.0836,*No,,,,,,,,,,,2012-11-19 00:00:00,107,11/4/12- Crab molting. 11/5/12-11/8/12 Crab molting and ABD. 11/15/12: Multiple legs from molt still stuck on crab.-LJH
1,1,30,2012-08-01 00:00:00,0.023,No,2012-08-16 00:00:00,12,2012-08-23 00:00:00,0.0379,No,2012-09-25 00:00:00,52,2012-10-02 00:00:00,0.0382,No,2013-01-02 00:00:00,151,2013-01-09 00:00:00,0.0475,No,,,,,,,,,,,,,
2,2,1,2012-08-01 00:00:00,0.0218,No,2012-08-08 00:00:00,4,2012-08-15 00:00:00,0.0347,No,2012-09-03 00:00:00,30,2012-09-10 00:00:00,0.044,No,2012-10-11 00:00:00,68,2012-10-18 00:00:00,0.0415,RL4,2012-12-02 00:00:00,120,2012-12-09 00:00:00,0.0418,ML4,,,,,,,,
2,2,2,2012-08-01 00:00:00,0.018,No,2012-08-14 00:00:00,10,2012-08-21 00:00:00,0.0284,No,2012-09-13 00:00:00,40,2012-09-20 00:00:00,0.0302,No,2012-10-21 00:00:00,78,2012-10-28 00:00:00,0.0306,No,2012-12-20 00:00:00,138,,,,,,,,,2012-12-23 00:00:00,141,"12/14/12-12/19/12: Crab molting. 12/16/12: Crab ADB. 12/20/12: Legs still stuck in old molt, carapace off."
2,2,3,2012-08-01 00:00:00,0.0218,No,2012-08-07 00:00:00,3,2012-08-14 00:00:00,0.0364,No,2012-08-31 00:00:00,27,2012-09-07 00:00:00,0.033,No,,,,,,,,,,,,,,,,2012-10-05 00:00:00,61,
2,2,4,2012-08-01 00:00:00,0.0214,No,2012-08-20 00:00:00,16,2012-08-27 00:00:00,0.0288,No,,,,,,,,,,,,,,,,,,,,,2012-09-25 00:00:00,51,
