Date,Exp. Day,# Alive Tub 1,# Alive Tub 2,# Alive Tub 3,# Alive Tub 4,# Alive Tub 5,# Alive Tub 6,,% Alive Tub 1,% Alive Tub 2,% Alive Tub 3,% Alive Tub 4,% Alive Tub 5,% Alive Tub 6
pH treatment,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8,,ambient,ambient,ambient,pH 7.8,pH 7.8,pH 7.8
Temp treatment,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4,,ambient,ambient +4,ambient +2,ambient,ambient +2,ambient +4
2012-08-05 00:00:00,1,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-06 00:00:00,2,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-07 00:00:00,3,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-08 00:00:00,4,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-09 00:00:00,5,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-10 00:00:00,6,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-11 00:00:00,7,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-12 00:00:00,8,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-13 00:00:00,9,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-14 00:00:00,10,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-15 00:00:00,11,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-16 00:00:00,12,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-17 00:00:00,13,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-18 00:00:00,14,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-19 00:00:00,15,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-20 00:00:00,16,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-21 00:00:00,17,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-22 00:00:00,18,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-23 00:00:00,19,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-24 00:00:00,20,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-25 00:00:00,21,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-26 00:00:00,22,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-27 00:00:00,23,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-28 00:00:00,24,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-29 00:00:00,25,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-30 00:00:00,26,30,28,30,30,30,29,,100,100,100,100,100,100
2012-08-31 00:00:00,27,29,28,30,30,30,29,,96.66666666666667,100,100,100,100,100
2012-09-01 00:00:00,28,29,28,30,30,30,29,,96.66666666666667,100,100,100,100,100
2012-09-02 00:00:00,29,29,28,30,30,30,29,,96.66666666666667,100,100,100,100,100
2012-09-03 00:00:00,30,29,28,30,30,30,28,,96.66666666666667,100,100,100,100,96.55172413793103
2012-09-04 00:00:00,31,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-05 00:00:00,32,29,28,28,30,30,28,,96.66666666666667,100,93.33333333333333,100,100,96.55172413793103
2012-09-06 00:00:00,33,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-07 00:00:00,34,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-08 00:00:00,35,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-09 00:00:00,36,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-10 00:00:00,37,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-11 00:00:00,38,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-12 00:00:00,39,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-13 00:00:00,40,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-14 00:00:00,41,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-15 00:00:00,42,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-16 00:00:00,43,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-17 00:00:00,44,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
2012-09-18 00:00:00,45,29,28,29,30,30,28,,96.66666666666667,100,96.66666666666667,100,100,96.55172413793103
