Tub,Insert #,pH treatment,Temp treatment,IM,Days ,Degree Days 
3,11,ambient,ambient +2,2nd,43,519.3869999999998
3,12,ambient,ambient +2,1st,40,509.8613124999999
3,12,ambient,ambient +2,2nd,52,554.3071041666669
3,13,ambient,ambient +2,1st,34,437.63170833333317
3,14,ambient,ambient +2,1st,33,424.3712083333333
3,15,ambient,ambient +2,1st,28,361.6115
3,15,ambient,ambient +2,2nd,53,615.8896666666667
3,16,ambient,ambient +2,1st,32,412.0319791666666
3,18,ambient,ambient +2,1st,33,425.8796666666667
3,21,ambient,ambient +2,1st,29,374.35412499999995
3,21,ambient,ambient +2,2nd,48,568.6646041666665
3,22,ambient,ambient +2,1st,30,386.1152916666667
3,23,ambient,ambient +2,1st,35,449.08558333333326
3,23,ambient,ambient +2,2nd,66,691.2152291666666
3,24,ambient,ambient +2,1st,28,360.27816666666666
3,24,ambient,ambient +2,2nd,49,586.4582499999998
3,25,ambient,ambient +2,1st,33,420.0377499999998
3,28,ambient,ambient +2,1st,32,412.00741666666653
3,28,ambient,ambient +2,2nd,71,764.5890208333333
3,30,ambient,ambient +2,1st,38,482.6632916666665
3,30,ambient,ambient +2,2nd,72,719.721020833333
4,1,7.8,ambient,1st,36,405.4288125
4,1,7.8,ambient,2nd,52,492.36614583333323
4,2,7.8,ambient,1st,43,476.83777083333314
4,4,7.8,ambient,1st,34,383.88693750000016
4,4,7.8,ambient,2nd,70,652.0041250000002
4,5,7.8,ambient,1st,38,428.3380208333334
4,6,7.8,ambient,1st,33,372.7026250000001
4,6,7.8,ambient,2nd,65,619.0269375
4,7,7.8,ambient,1st,50,548.9759166666665
4,7,7.8,ambient,2nd,107,772.0888958333335
4,8,7.8,ambient,1st,31,350.43458333333336
4,8,7.8,ambient,2nd,65,637.0622916666665
4,9,7.8,ambient,1st,40,448.1283333333332
4,10,7.8,ambient,1st,42,467.6987291666667
4,11,7.8,ambient,1st,47,518.5316458333331
4,14,7.8,ambient,1st,42,468.5554791666665
4,15,7.8,ambient,1st,38,425.1487916666665
4,15,7.8,ambient,2nd,70,607.8914583333338
4,16,7.8,ambient,1st,48,517.2417499999999
4,17,7.8,ambient,1st,59,630.8821249999997
4,18,7.8,ambient,1st,50,550.4650416666665
4,18,7.8,ambient,2nd,109,792.8446875000002
4,19,7.8,ambient,1st,33,372.4828333333334
4,19,7.8,ambient,2nd,87,781.2739583333337
4,20,7.8,ambient,1st,43,480.1265416666665
4,21,7.8,ambient,1st,52,558.9483541666666
4,22,7.8,ambient,1st,54,573.8644791666665
4,23,7.8,ambient,1st,47,518.5316458333331
4,25,7.8,ambient,1st,40,447.38818749999984
4,26,7.8,ambient,1st,45,497.08224999999976
4,27,7.8,ambient,1st,34,383.7037500000001
4,27,7.8,ambient,2nd,66,626.7614375
4,28,7.8,ambient,1st,45,502.28575000000006
4,29,7.8,ambient,1st,36,405.46877083333345
4,30,7.8,ambient,1st,78,778.7981666666667
5,1,7.8,ambient +2,1st,23,305.74870833333335
5,1,7.8,ambient +2,2nd,37,469.0764791666668
5,2,7.8,ambient +2,1st,30,399.2203333333333
5,3,7.8,ambient +2,1st,43,556.7701458333333
5,3,7.8,ambient +2,2nd,79,783.952958333333
5,4,7.8,ambient +2,1st,31,412.99666666666667
5,5,7.8,ambient +2,1st,38,499.69083333333344
5,6,7.8,ambient +2,1st,31,414.8508333333333
5,6,7.8,ambient +2,2nd,46,553.1600833333337
5,7,7.8,ambient +2,1st,32,427.58549999999997
5,8,7.8,ambient +2,1st,39,506.5821458333334
5,9,7.8,ambient +2,1st,32,426.8955208333333
5,9,7.8,ambient +2,2nd,88,977.2910416666666
5,10,7.8,ambient +2,1st,37,486.96685416666674
5,11,7.8,ambient +2,1st,47,611.7777083333334
5,11,7.8,ambient +2,2nd,69,710.8784374999997
5,12,7.8,ambient +2,1st,42,541.0912708333335
5,13,7.8,ambient +2,1st,39,509.08391666666665
