Tub #,Date,Salinity ppt,Comments
11,2012-07-27 00:00:00,31.4,
12,2012-07-27 00:00:00,31.8,
13,2012-07-27 00:00:00,32,
14,2012-07-27 00:00:00,32,
15,2012-07-27 00:00:00,31.8,
1,2012-07-28 00:00:00,31.8,
2,2012-07-28 00:00:00,31.6,
3,2012-07-28 00:00:00,31.8,
4,2012-07-28 00:00:00,31.6,
5,2012-07-28 00:00:00,31.9,
6,2012-07-28 00:00:00,31.6,
7,2012-07-28 00:00:00,31.4,
8,2012-07-28 00:00:00,31.8,
9,2012-07-28 00:00:00,31.8,
10,2012-07-28 00:00:00,32,
11,2012-07-28 00:00:00,31.7,
12,2012-07-28 00:00:00,31.8,
13,2012-07-28 00:00:00,32,
14,2012-07-28 00:00:00,31.7,
15,2012-07-28 00:00:00,32.1,
7,2012-07-29 00:00:00,32.2,
8,2012-07-29 00:00:00,31.9,
9,2012-07-29 00:00:00,31.9,
10,2012-07-29 00:00:00,32,
11,2012-07-29 00:00:00,31.9,
12,2012-07-29 00:00:00,31.8,
13,2012-07-29 00:00:00,31.9,
14,2012-07-29 00:00:00,31.6,
15,2012-07-29 00:00:00,32.1,
7,2012-07-30 00:00:00,,No data entered for this date
8,2012-07-30 00:00:00,31.1,
9,2012-07-30 00:00:00,31.5,
10,2012-07-30 00:00:00,31.7,
11,2012-07-30 00:00:00,31.9,
12,2012-07-30 00:00:00,32,
13,2012-07-30 00:00:00,31.6,
14,2012-07-30 00:00:00,31.6,
15,2012-07-30 00:00:00,31.7,
7,2012-07-31 00:00:00,31.9,
8,2012-07-31 00:00:00,31.8,
9,2012-07-31 00:00:00,31.8,
10,2012-07-31 00:00:00,31.9,
11,2012-07-31 00:00:00,31.8,
12,2012-07-31 00:00:00,31.9,
13,2012-07-31 00:00:00,31.7,
14,2012-07-31 00:00:00,31.8,
15,2012-07-31 00:00:00,31.6,
1,2012-08-01 00:00:00,31.5,
2,2012-08-01 00:00:00,31.4,
3,2012-08-01 00:00:00,31.8,
4,2012-08-01 00:00:00,31.9,
5,2012-08-01 00:00:00,31.8,
6,2012-08-01 00:00:00,31.7,
7,2012-08-01 00:00:00,31.7,
8,2012-08-01 00:00:00,31.8,
9,2012-08-01 00:00:00,31.7,
10,2012-08-01 00:00:00,31.7,
11,2012-08-01 00:00:00,31.8,
12,2012-08-01 00:00:00,31.8,
13,2012-08-01 00:00:00,31.9,
14,2012-08-01 00:00:00,31.9,
15,2012-08-01 00:00:00,31.6,
1,2012-08-02 00:00:00,31.8,
2,2012-08-02 00:00:00,31.8,
3,2012-08-02 00:00:00,31.8,
4,2012-08-02 00:00:00,32,
5,2012-08-02 00:00:00,32,
6,2012-08-02 00:00:00,31.9,
7,2012-08-02 00:00:00,31.9,
8,2012-08-02 00:00:00,31.9,
9,2012-08-02 00:00:00,31.8,
10,2012-08-02 00:00:00,32.1,
11,2012-08-02 00:00:00,31.9,
12,2012-08-02 00:00:00,31.9,
13,2012-08-02 00:00:00,31.9,
14,2012-08-02 00:00:00,31.9,
15,2012-08-02 00:00:00,31.9,
1,2012-08-03 00:00:00,32,
2,2012-08-03 00:00:00,31.9,
3,2012-08-03 00:00:00,32,
4,2012-08-03 00:00:00,31.9,
5,2012-08-03 00:00:00,31.9,
6,2012-08-03 00:00:00,32,
7,2012-08-03 00:00:00,32.2,
8,2012-08-03 00:00:00,32,
9,2012-08-03 00:00:00,32,
10,2012-08-03 00:00:00,32.3,
11,2012-08-03 00:00:00,31.9,
12,2012-08-03 00:00:00,31.9,
13,2012-08-03 00:00:00,31.9,
14,2012-08-03 00:00:00,32,
15,2012-08-03 00:00:00,31.8,
1,2012-08-04 00:00:00,31.7,
2,2012-08-04 00:00:00,32,
3,2012-08-04 00:00:00,32,
4,2012-08-04 00:00:00,32.1,
5,2012-08-04 00:00:00,31.8,
6,2012-08-04 00:00:00,32,
7,2012-08-04 00:00:00,31.8,
8,2012-08-04 00:00:00,31.9,
9,2012-08-04 00:00:00,31.9,
10,2012-08-04 00:00:00,32,
11,2012-08-04 00:00:00,32,
12,2012-08-04 00:00:00,32.3,
13,2012-08-04 00:00:00,32,
14,2012-08-04 00:00:00,32,
15,2012-08-04 00:00:00,31.8,
1,2012-08-05 00:00:00,32.1,
2,2012-08-05 00:00:00,32.1,
3,2012-08-05 00:00:00,31.9,
4,2012-08-05 00:00:00,32.1,
5,2012-08-05 00:00:00,31.9,
6,2012-08-05 00:00:00,31.8,
7,2012-08-05 00:00:00,31.9,
8,2012-08-05 00:00:00,32,
9,2012-08-05 00:00:00,32,
10,2012-08-05 00:00:00,32,
11,2012-08-05 00:00:00,32.1,
12,2012-08-05 00:00:00,31.9,
13,2012-08-05 00:00:00,31.9,
14,2012-08-05 00:00:00,31.7,
15,2012-08-05 00:00:00,32,
1,2012-08-06 00:00:00,32.1,
2,2012-08-06 00:00:00,32.1,
3,2012-08-06 00:00:00,32,
4,2012-08-06 00:00:00,32.1,
5,2012-08-06 00:00:00,32,
6,2012-08-06 00:00:00,32.1,
7,2012-08-06 00:00:00,32.1,
8,2012-08-06 00:00:00,32.1,
9,2012-08-06 00:00:00,32.1,
10,2012-08-06 00:00:00,32.2,
11,2012-08-06 00:00:00,32.3,
12,2012-08-06 00:00:00,31.9,
13,2012-08-06 00:00:00,32.2,
14,2012-08-06 00:00:00,30.7,
15,2012-08-06 00:00:00,32.1,
1,2012-08-07 00:00:00,32.1,
2,2012-08-07 00:00:00,32,
3,2012-08-07 00:00:00,32,
4,2012-08-07 00:00:00,32.1,
5,2012-08-07 00:00:00,32.1,
6,2012-08-07 00:00:00,32.1,
7,2012-08-07 00:00:00,32.1,
8,2012-08-07 00:00:00,32.1,
9,2012-08-07 00:00:00,32.1,
10,2012-08-07 00:00:00,32.1,
11,2012-08-07 00:00:00,32.2,
12,2012-08-07 00:00:00,32.2,
13,2012-08-07 00:00:00,31.8,
14,2012-08-07 00:00:00,32.1,
15,2012-08-07 00:00:00,32,
1,2012-08-08 00:00:00,32.2,
2,2012-08-08 00:00:00,32.1,
3,2012-08-08 00:00:00,32.1,
4,2012-08-08 00:00:00,32.2,
5,2012-08-08 00:00:00,32.1,
6,2012-08-08 00:00:00,32.1,
7,2012-08-08 00:00:00,32.3,
8,2012-08-08 00:00:00,32.2,
9,2012-08-08 00:00:00,32.1,
10,2012-08-08 00:00:00,32,
11,2012-08-08 00:00:00,32.2,
12,2012-08-08 00:00:00,32.2,
