experiment,treatment_pH,treatment_temp,crab_id,molt_num,date,exp_day,wet_mass_g
2012-2013,pH 7.8,+2C,2012_t5_c28,0,2012-08-01,0,0.0176
2012-2013,pH 7.8,+2C,2012_t5_c28,1,2012-08-26,25,0.0327
2012-2013,pH 7.8,+2C,2012_t5_c28,2,2012-10-23,83,0.0252
2012-2013,pH 7.8,+2C,2012_t5_c29,0,2012-08-01,0,0.0158
2012-2013,pH 7.8,+2C,2012_t5_c29,1,2012-08-23,22,0.0252
2012-2013,pH 7.8,+2C,2012_t5_c29,2,2012-10-02,62,0.0284
2012-2013,pH 7.8,+2C,2012_t5_c29,3,2012-12-23,144,0.0259
2012-2013,pH 7.8,+2C,2012_t5_c30,0,2012-08-01,0,0.02
2012-2013,pH 7.8,+2C,2012_t5_c30,1,2012-08-16,15,0.0337
2012-2013,pH 7.8,+2C,2012_t5_c30,2,2012-09-15,45,0.0408
2012-2013,pH 7.8,+2C,2012_t5_c30,3,2012-10-23,83,0.0394
2012-2013,pH 7.8,+2C,2012_t5_c30,4,2013-01-05,157,0.0362
2012-2013,pH 7.8,+4C,2012_t6_c01,0,2012-08-01,0,0.0228
2012-2013,pH 7.8,+4C,2012_t6_c01,1,2012-08-17,16,0.0345
2012-2013,pH 7.8,+4C,2012_t6_c01,2,2012-09-13,43,0.0386
2012-2013,pH 7.8,+4C,2012_t6_c02,0,2012-08-01,0,0.0199
2012-2013,pH 7.8,+4C,2012_t6_c02,1,2012-08-21,20,0.0302
2012-2013,pH 7.8,+4C,2012_t6_c02,2,2012-09-18,48,0.0304
2012-2013,pH 7.8,+4C,2012_t6_c03,0,2012-08-01,0,0.024
2012-2013,pH 7.8,+4C,2012_t6_c03,1,2012-08-15,14,0.04
2012-2013,pH 7.8,+4C,2012_t6_c03,2,2012-09-17,47,0.0366
2012-2013,pH 7.8,+4C,2012_t6_c03,3,2012-11-07,98,0.033
2012-2013,pH 7.8,+4C,2012_t6_c04,0,2012-08-01,0,0.0162
2012-2013,pH 7.8,+4C,2012_t6_c04,1,2012-08-15,14,0.0269
2012-2013,pH 7.8,+4C,2012_t6_c04,2,2012-09-09,39,0.0289
2012-2013,pH 7.8,+4C,2012_t6_c05,0,2012-08-01,0,0.0158
2012-2013,pH 7.8,+4C,2012_t6_c05,1,2012-08-21,20,0.0234
2012-2013,pH 7.8,+4C,2012_t6_c05,2,2012-09-19,49,0.0175
2012-2013,pH 7.8,+4C,2012_t6_c06,0,2012-08-01,0,0.0182
2012-2013,pH 7.8,+4C,2012_t6_c07,0,2012-08-01,0,0.0167
2012-2013,pH 7.8,+4C,2012_t6_c07,1,2012-08-27,26,0.029
2012-2013,pH 7.8,+4C,2012_t6_c08,0,2012-08-01,0,0.018
2012-2013,pH 7.8,+4C,2012_t6_c08,1,2012-08-17,16,0.0261
2012-2013,pH 7.8,+4C,2012_t6_c08,2,2012-09-16,46,0.0297
2012-2013,pH 7.8,+4C,2012_t6_c09,0,2012-08-01,0,0.0141
2012-2013,pH 7.8,+4C,2012_t6_c09,1,2012-08-22,21,0.0224
2012-2013,pH 7.8,+4C,2012_t6_c10,0,2012-08-01,0,0.0232
2012-2013,pH 7.8,+4C,2012_t6_c10,1,2012-08-14,13,0.0411
2012-2013,pH 7.8,+4C,2012_t6_c10,2,2012-09-10,40,0.0425
2012-2013,pH 7.8,+4C,2012_t6_c11,0,2012-08-01,0,0.0156
2012-2013,pH 7.8,+4C,2012_t6_c11,1,2012-08-27,26,0.0235
2012-2013,pH 7.8,+4C,2012_t6_c12,0,2012-08-01,0,0.0242
2012-2013,pH 7.8,+4C,2012_t6_c12,1,2012-08-17,16,0.0379
2012-2013,pH 7.8,+4C,2012_t6_c12,2,2012-09-12,42,0.0407
2012-2013,pH 7.8,+4C,2012_t6_c13,0,2012-08-01,0,0.0192
2012-2013,pH 7.8,+4C,2012_t6_c13,1,2012-08-27,26,0.027
2012-2013,pH 7.8,+4C,2012_t6_c13,2,2012-10-02,62,0.0182
2012-2013,pH 7.8,+4C,2012_t6_c14,0,2012-08-01,0,0.0161
2012-2013,pH 7.8,+4C,2012_t6_c14,1,2012-08-21,20,0.0256
2012-2013,pH 7.8,+4C,2012_t6_c14,2,2012-09-21,51,0.0198
2012-2013,pH 7.8,+4C,2012_t6_c15,0,2012-08-01,0,0.022
2012-2013,pH 7.8,+4C,2012_t6_c15,1,2012-08-24,23,0.0281
2012-2013,pH 7.8,+4C,2012_t6_c15,2,2012-09-25,55,0.0282
2012-2013,pH 7.8,+4C,2012_t6_c15,3,2012-11-26,117,0.0257
2012-2013,pH 7.8,+4C,2012_t6_c15,4,2013-02-01,184,0.0275
2012-2013,pH 7.8,+4C,2012_t6_c16,0,2012-08-01,0,0.0149
2012-2013,pH 7.8,+4C,2012_t6_c16,1,2012-08-25,24,0.0203
2012-2013,pH 7.8,+4C,2012_t6_c16,2,2012-11-15,106,0.013
2012-2013,pH 7.8,+4C,2012_t6_c17,0,2012-08-01,0,0.0172
2012-2013,pH 7.8,+4C,2012_t6_c17,1,2012-08-22,21,0.0252
2012-2013,pH 7.8,+4C,2012_t6_c17,2,2012-09-21,51,0.0236
2012-2013,pH 7.8,+4C,2012_t6_c17,3,2012-12-02,123,0.0206
2012-2013,pH 7.8,+4C,2012_t6_c18,0,2012-08-01,0,0.0186
2012-2013,pH 7.8,+4C,2012_t6_c18,1,2012-08-23,22,0.0238
2012-2013,pH 7.8,+4C,2012_t6_c18,2,2012-09-26,56,0.0216
2012-2013,pH 7.8,+4C,2012_t6_c19,0,2012-08-01,0,0.0228
2012-2013,pH 7.8,+4C,2012_t6_c19,1,2012-08-18,17,0.0329
2012-2013,pH 7.8,+4C,2012_t6_c19,2,2012-09-16,46,0.039
2012-2013,pH 7.8,+4C,2012_t6_c20,0,2012-08-01,0,0.0212
2012-2013,pH 7.8,+4C,2012_t6_c20,1,2012-08-17,16,0.0333
2012-2013,pH 7.8,+4C,2012_t6_c20,2,2012-09-12,42,0.0331
2012-2013,pH 7.8,+4C,2012_t6_c21,0,2012-08-01,0,0.0242
2012-2013,pH 7.8,+4C,2012_t6_c21,1,2012-08-15,14,0.0456
2012-2013,pH 7.8,+4C,2012_t6_c22,0,2012-08-01,0,0.017
2012-2013,pH 7.8,+4C,2012_t6_c22,1,2012-08-25,24,0.0221
2012-2013,pH 7.8,+4C,2012_t6_c23,0,2012-08-01,0,0.0216
2012-2013,pH 7.8,+4C,2012_t6_c23,1,2012-08-16,15,0.0364
2012-2013,pH 7.8,+4C,2012_t6_c23,2,2012-09-12,42,0.0382
2012-2013,pH 7.8,+4C,2012_t6_c24,0,2012-08-01,0,0.016
2012-2013,pH 7.8,+4C,2012_t6_c24,1,2012-08-23,22,0.0222
2012-2013,pH 7.8,+4C,2012_t6_c25,0,2012-08-01,0,0.0265
2012-2013,pH 7.8,+4C,2012_t6_c25,1,2012-08-14,13,0.0459
2012-2013,pH 7.8,+4C,2012_t6_c25,2,2012-09-10,40,0.0576
2012-2013,pH 7.8,+4C,2012_t6_c25,3,2012-10-24,84,0.0505
2012-2013,pH 7.8,+4C,2012_t6_c26,0,2012-08-01,0,0.021
2012-2013,pH 7.8,+4C,2012_t6_c26,1,2012-08-23,22,0.0265
2012-2013,pH 7.8,+4C,2012_t6_c27,0,2012-08-01,0,0.0202
2012-2013,pH 7.8,+4C,2012_t6_c27,1,2012-08-16,15,0.0385
2012-2013,pH 7.8,+4C,2012_t6_c27,2,2012-09-04,34,0.0572
2012-2013,pH 7.8,+4C,2012_t6_c27,3,2012-10-10,70,0.0442
2012-2013,pH 7.8,+4C,2012_t6_c28,0,2012-08-01,0,0.0085
2012-2013,pH 7.8,+4C,2012_t6_c28,1,2012-08-12,11,0.0101
2012-2013,pH 7.8,+4C,2012_t6_c28,2,2012-09-03,33,0.0124
2012-2013,pH 7.8,+4C,2012_t6_c29,0,2012-08-01,0,0.0216
2012-2013,pH 7.8,+4C,2012_t6_c29,1,2012-08-17,16,0.0352
2012-2013,pH 7.8,+4C,2012_t6_c29,2,2012-09-11,41,0.0393
2012-2013,pH 7.8,+4C,2012_t6_c30,0,2012-08-01,0,0.019
2012-2013,pH 7.8,+4C,2012_t6_c30,1,2012-08-19,18,0.0269
2012-2013,pH 7.8,+4C,2012_t6_c30,2,2012-09-16,46,0.0286
2012-2013,pH 7.8,ambient,2012_t4_c01,0,2012-08-01,0,0.0217
2012-2013,pH 7.8,ambient,2012_t4_c01,1,2012-08-22,21,0.0334
2012-2013,pH 7.8,ambient,2012_t4_c01,2,2012-09-27,57,0.0297
2012-2013,pH 7.8,ambient,2012_t4_c01,3,2012-11-18,109,0.0313
2012-2013,pH 7.8,ambient,2012_t4_c02,0,2012-08-01,0,0.0166
2012-2013,pH 7.8,ambient,2012_t4_c02,1,2012-08-28,27,0.03
2012-2013,pH 7.8,ambient,2012_t4_c02,2,2012-10-10,70,0.0182
2012-2013,pH 7.8,ambient,2012_t4_c03,0,2012-08-01,0,0.0117
2012-2013,pH 7.8,ambient,2012_t4_c03,1,2012-09-04,34,0.0221
2012-2013,pH 7.8,ambient,2012_t4_c04,0,2012-08-01,0,0.0205
2012-2013,pH 7.8,ambient,2012_t4_c04,1,2012-08-18,17,0.0362
2012-2013,pH 7.8,ambient,2012_t4_c04,2,2012-09-21,51,0.0467
2012-2013,pH 7.8,ambient,2012_t4_c04,3,2012-11-30,121,0.0378
2012-2013,pH 7.8,ambient,2012_t4_c05,0,2012-08-01,0,0.024
2012-2013,pH 7.8,ambient,2012_t4_c05,1,2012-08-16,15,0.0426
2012-2013,pH 7.8,ambient,2012_t4_c05,2,2012-09-23,53,0.0504
2012-2013,pH 7.8,ambient,2012_t4_c06,0,2012-08-01,0,0.0175
2012-2013,pH 7.8,ambient,2012_t4_c06,1,2012-08-18,17,0.0322
2012-2013,pH 7.8,ambient,2012_t4_c06,2,2012-09-20,50,0.0328
2012-2013,pH 7.8,ambient,2012_t4_c06,3,2012-11-24,115,0.0359
2012-2013,pH 7.8,ambient,2012_t4_c06,4,2013-02-03,186,0.0615
2012-2013,pH 7.8,ambient,2012_t4_c07,0,2012-08-01,0,0.0213
2012-2013,pH 7.8,ambient,2012_t4_c07,1,2012-08-29,28,0.0314
2012-2013,pH 7.8,ambient,2012_t4_c07,2,2012-10-18,78,0.0301
2012-2013,pH 7.8,ambient,2012_t4_c07,3,2013-02-02,185,0.0567
2012-2013,pH 7.8,ambient,2012_t4_c08,0,2012-08-01,0,0.0258
2012-2013,pH 7.8,ambient,2012_t4_c08,1,2012-08-14,13,0.0486
2012-2013,pH 7.8,ambient,2012_t4_c08,2,2012-09-14,44,0.0573
2012-2013,pH 7.8,ambient,2012_t4_c08,3,2012-11-18,109,0.0532
2012-2013,pH 7.8,ambient,2012_t4_c09,0,2012-08-01,0,0.0239
2012-2013,pH 7.8,ambient,2012_t4_c09,1,2012-08-23,22,0.0395
2012-2013,pH 7.8,ambient,2012_t4_c09,2,2012-10-02,62,0.0353
2012-2013,pH 7.8,ambient,2012_t4_c10,0,2012-08-01,0,0.0166
2012-2013,pH 7.8,ambient,2012_t4_c10,1,2012-08-25,24,0.0268
2012-2013,pH 7.8,ambient,2012_t4_c10,2,2012-10-06,66,0.0308
2012-2013,pH 7.8,ambient,2012_t4_c11,0,2012-08-01,0,0.0163
2012-2013,pH 7.8,ambient,2012_t4_c11,1,2012-08-28,27,0.0276
2012-2013,pH 7.8,ambient,2012_t4_c11,2,2012-10-14,74,0.0196
2012-2013,pH 7.8,ambient,2012_t4_c12,0,2012-08-01,0,0.0186
2012-2013,pH 7.8,ambient,2012_t4_c12,1,2012-08-27,26,0.0352
2012-2013,pH 7.8,ambient,2012_t4_c13,0,2012-08-01,0,0.0158
2012-2013,pH 7.8,ambient,2012_t4_c13,1,2012-09-02,32,0.0222
2012-2013,pH 7.8,ambient,2012_t4_c14,0,2012-08-01,0,0.0161
2012-2013,pH 7.8,ambient,2012_t4_c14,1,2012-08-24,23,0.0256
2012-2013,pH 7.8,ambient,2012_t4_c14,2,2012-10-05,65,0.0245
2012-2013,pH 7.8,ambient,2012_t4_c15,0,2012-08-01,0,0.0189
2012-2013,pH 7.8,ambient,2012_t4_c15,1,2012-08-25,24,0.0346
2012-2013,pH 7.8,ambient,2012_t4_c15,2,2012-10-02,62,0.0302
2012-2013,pH 7.8,ambient,2012_t4_c15,3,2012-12-11,132,0.0315
2012-2013,pH 7.8,ambient,2012_t4_c16,0,2012-08-01,0,0.0149
2012-2013,pH 7.8,ambient,2012_t4_c16,1,2012-09-06,36,0.023
2012-2013,pH 7.8,ambient,2012_t4_c16,2,2012-10-24,84,0.0185
2012-2013,pH 7.8,ambient,2012_t4_c17,0,2012-08-01,0,0.0226
2012-2013,pH 7.8,ambient,2012_t4_c17,1,2012-08-31,30,0.0345
2012-2013,pH 7.8,ambient,2012_t4_c17,2,2012-10-29,89,0.022
2012-2013,pH 7.8,ambient,2012_t4_c18,0,2012-08-01,0,0.0175
2012-2013,pH 7.8,ambient,2012_t4_c18,1,2012-08-27,26,0.0285
2012-2013,pH 7.8,ambient,2012_t4_c18,2,2012-10-16,76,0.0242
2012-2013,pH 7.8,ambient,2012_t4_c18,3,2013-02-02,185,0.033
2012-2013,pH 7.8,ambient,2012_t4_c19,0,2012-08-01,0,0.0207
2012-2013,pH 7.8,ambient,2012_t4_c19,1,2012-08-16,15,0.0345
2012-2013,pH 7.8,ambient,2012_t4_c19,2,2012-09-18,48,0.0393
2012-2013,pH 7.8,ambient,2012_t4_c19,3,2012-12-14,135,0.0367
2012-2013,pH 7.8,ambient,2012_t4_c20,0,2012-08-01,0,0.0163
2012-2013,pH 7.8,ambient,2012_t4_c20,1,2012-08-23,22,0.0239
2012-2013,pH 7.8,ambient,2012_t4_c20,2,2012-10-05,65,0.0231
2012-2013,pH 7.8,ambient,2012_t4_c21,0,2012-08-01,0,0.0135
2012-2013,pH 7.8,ambient,2012_t4_c21,1,2012-09-04,34,0.0224
2012-2013,pH 7.8,ambient,2012_t4_c21,2,2012-10-26,86,0.0172
2012-2013,pH 7.8,ambient,2012_t4_c22,0,2012-08-01,0,0.0162
2012-2013,pH 7.8,ambient,2012_t4_c22,1,2012-09-05,35,0.0219
2012-2013,pH 7.8,ambient,2012_t4_c22,2,2012-10-29,89,0.0192
2012-2013,pH 7.8,ambient,2012_t4_c23,0,2012-08-01,0,0.0215
2012-2013,pH 7.8,ambient,2012_t4_c23,1,2012-08-28,27,0.0361
2012-2013,pH 7.8,ambient,2012_t4_c23,2,2012-10-14,74,0.0302
2012-2013,pH 7.8,ambient,2012_t4_c24,0,2012-08-01,0,0.0193
2012-2013,pH 7.8,ambient,2012_t4_c24,1,2012-08-30,29,0.0276
2012-2013,pH 7.8,ambient,2012_t4_c25,0,2012-08-01,0,0.0173
2012-2013,pH 7.8,ambient,2012_t4_c25,1,2012-08-24,23,0.0252
2012-2013,pH 7.8,ambient,2012_t4_c25,2,2012-10-03,63,0.0274
2012-2013,pH 7.8,ambient,2012_t4_c26,0,2012-08-01,0,0.0197
2012-2013,pH 7.8,ambient,2012_t4_c26,1,2012-08-29,28,0.0273
2012-2013,pH 7.8,ambient,2012_t4_c26,2,2012-10-13,73,0.0291
2012-2013,pH 7.8,ambient,2012_t4_c27,0,2012-08-01,0,0.0239
2012-2013,pH 7.8,ambient,2012_t4_c27,1,2012-08-17,16,0.0442
2012-2013,pH 7.8,ambient,2012_t4_c27,2,2012-09-20,50,0.0546
2012-2013,pH 7.8,ambient,2012_t4_c27,3,2012-11-25,116,0.0423
2012-2013,pH 7.8,ambient,2012_t4_c28,0,2012-08-01,0,0.0182
2012-2013,pH 7.8,ambient,2012_t4_c28,1,2012-08-22,21,0.0302
2012-2013,pH 7.8,ambient,2012_t4_c28,2,2012-10-06,66,0.0271
2012-2013,pH 7.8,ambient,2012_t4_c29,0,2012-08-01,0,0.025
2012-2013,pH 7.8,ambient,2012_t4_c29,1,2012-08-15,14,0.0455
2012-2013,pH 7.8,ambient,2012_t4_c29,2,2012-09-20,50,0.057
2012-2013,pH 7.8,ambient,2012_t4_c30,0,2012-08-01,0,0.017
2012-2013,pH 7.8,ambient,2012_t4_c30,1,2012-09-03,33,0.0233
2012-2013,pH 7.8,ambient,2012_t4_c30,2,2012-11-20,111,0.0198
2024-2025,ambient,+3C,2024_t2_c04,0,2024-08-20,0,0.0044
2024-2025,ambient,+3C,2024_t2_c04,1,2024-09-16,27,0.0108
2024-2025,ambient,+3C,2024_t2_c04,2,2024-10-09,50,0.0125
2024-2025,ambient,+3C,2024_t2_c04,3,2024-11-06,78,0.0268
2024-2025,ambient,+3C,2024_t2_c05,0,2024-08-20,0,0.0082
2024-2025,ambient,+3C,2024_t2_c05,1,2024-10-04,45,0.0196
2024-2025,ambient,+3C,2024_t2_c05,2,2024-11-02,74,0.0266
2024-2025,ambient,+3C,2024_t2_c05,3,2024-12-29,131,0.0386
2024-2025,ambient,+3C,2024_t2_c05,4,2025-02-27,191,0.0525
2024-2025,ambient,+3C,2024_t2_c05,5,2025-05-01,254,0.0743
2024-2025,ambient,+3C,2024_t2_c06,0,2024-08-20,0,0.0116
2024-2025,ambient,+3C,2024_t2_c06,1,2024-09-29,40,0.0256
2024-2025,ambient,+3C,2024_t2_c06,2,2024-11-13,85,0.0293
2024-2025,ambient,+3C,2024_t2_c07,0,2024-08-20,0,0.0129
2024-2025,ambient,+3C,2024_t2_c07,1,2024-08-27,7,0.0243
2024-2025,ambient,+3C,2024_t2_c07,2,2024-09-22,33,0.0286
2024-2025,ambient,+3C,2024_t2_c07,3,2024-10-29,70,0.0347
2024-2025,ambient,+3C,2024_t2_c07,4,2025-01-03,136,0.053
2024-2025,ambient,+3C,2024_t2_c08,0,2024-08-21,1,0.0055
2024-2025,ambient,+3C,2024_t2_c08,1,2024-09-23,34,0.0077
2024-2025,ambient,+3C,2024_t2_c08,2,2024-10-28,69,0.0181
2024-2025,ambient,+3C,2024_t2_c08,3,2024-12-04,106,0.0212
2024-2025,ambient,+3C,2024_t2_c08,4,2025-01-29,162,0.0282
2024-2025,ambient,+3C,2024_t2_c08,5,2025-03-26,218,0.0371
2024-2025,ambient,+3C,2024_t2_c08,6,2025-05-21,274,0.0518
2024-2025,ambient,+3C,2024_t2_c09,0,2024-08-21,1,0.008
2024-2025,ambient,+3C,2024_t2_c09,1,2024-09-09,20,0.0112
2024-2025,ambient,+3C,2024_t2_c09,2,2024-10-09,50,0.011
2024-2025,ambient,+3C,2024_t2_c09,3,2024-11-13,85,0.0252
2024-2025,ambient,+3C,2024_t2_c09,4,2025-01-08,141,0.03
2024-2025,ambient,+3C,2024_t2_c09,6,2025-04-14,237,0.0579
2024-2025,ambient,+3C,2024_t2_c10,0,2024-08-21,1,0.0041
2024-2025,ambient,+3C,2024_t2_c10,1,2024-09-09,20,0.0067
2024-2025,ambient,+3C,2024_t2_c10,2,2024-09-30,41,0.0117
2024-2025,ambient,+3C,2024_t2_c10,3,2024-10-25,66,0.0178
2024-2025,ambient,+3C,2024_t2_c10,4,2024-11-26,98,0.0277
2024-2025,ambient,+3C,2024_t2_c10,5,2025-02-03,167,0.0334
2024-2025,ambient,+3C,2024_t2_c11,0,2024-08-21,1,0.0077
2024-2025,ambient,+3C,2024_t2_c11,1,2024-09-11,22,0.028
2024-2025,ambient,+3C,2024_t2_c11,2,2024-10-04,45,0.0163
2024-2025,ambient,+3C,2024_t2_c11,3,2024-11-04,76,0.0222
2024-2025,ambient,+3C,2024_t2_c11,4,2024-12-15,117,0.034
2024-2025,ambient,+3C,2024_t2_c11,5,2025-01-24,157,0.0496
2024-2025,ambient,+3C,2024_t2_c11,6,2025-04-18,241,0.0738
2024-2025,ambient,+3C,2024_t2_c20,0,2024-08-22,2,0.004
2024-2025,ambient,+3C,2024_t2_c20,1,2024-09-11,22,0.0044
2024-2025,ambient,+3C,2024_t2_c20,2,2024-10-15,56,0.0083
2024-2025,ambient,+3C,2024_t2_c20,3,2024-11-29,101,0.009
2024-2025,ambient,+3C,2024_t2_c21,0,2024-08-22,2,0.0157
2024-2025,ambient,+3C,2024_t2_c21,1,2024-08-23,3,0.0295
2024-2025,ambient,+3C,2024_t2_c21,2,2024-09-29,40,0.0321
2024-2025,ambient,+3C,2024_t2_c21,3,2024-11-09,81,0.0355
2024-2025,ambient,+3C,2024_t2_c21,4,2024-12-31,133,0.0381
2024-2025,ambient,+3C,2024_t2_c21,6,2025-04-27,250,0.0886
2024-2025,ambient,+3C,2024_t2_c22,0,2024-08-22,2,0.0058
2024-2025,ambient,+3C,2024_t2_c22,1,2024-09-20,31,0.0075
2024-2025,ambient,+3C,2024_t2_c22,2,2024-10-25,66,0.0098
2024-2025,ambient,+3C,2024_t2_c23,0,2024-08-23,3,0.0094
2024-2025,ambient,+3C,2024_t2_c23,1,2024-09-09,20,0.0114
2024-2025,ambient,+3C,2024_t2_c23,2,2024-10-19,60,0.0132
2024-2025,ambient,+3C,2024_t2_c24,0,2024-08-23,3,0.0097
2024-2025,ambient,+3C,2024_t2_c24,1,2024-09-03,14,0.0134
2024-2025,ambient,+3C,2024_t2_c24,2,2024-09-27,38,0.024
2024-2025,ambient,+3C,2024_t2_c24,3,2024-10-28,69,0.0271
2024-2025,ambient,+3C,2024_t2_c24,4,2024-12-19,121,0.0351
2024-2025,ambient,+3C,2024_t2_c24,5,2025-02-08,172,0.0403
2024-2025,ambient,+3C,2024_t2_c25,0,2024-08-23,3,0.0104
2024-2025,ambient,+3C,2024_t2_c25,1,2024-09-10,21,0.0128
2024-2025,ambient,+3C,2024_t2_c25,2,2024-10-11,52,0.0201
2024-2025,ambient,+3C,2024_t2_c25,3,2024-11-25,97,0.025
2024-2025,ambient,+3C,2024_t2_c25,4,2025-01-21,154,0.037
2024-2025,ambient,+3C,2024_t2_c26,0,2024-08-23,3,0.0467
2024-2025,ambient,+3C,2024_t2_c26,1,2024-09-22,33,0.0478
2024-2025,ambient,+3C,2024_t2_c26,2,2024-10-27,68,0.0742
2024-2025,ambient,+3C,2024_t2_c26,3,2024-12-16,118,0.0912
2024-2025,ambient,+3C,2024_t2_c26,4,2025-02-02,166,0.0917
2024-2025,ambient,+3C,2024_t2_c26,5,2025-03-30,222,0.1261
2024-2025,ambient,+3C,2024_t2_c26,6,2025-05-27,280,0.1828
2024-2025,ambient,ambient,2024_t7_c04,0,2024-08-20,0,0.0094
2024-2025,ambient,ambient,2024_t7_c04,1,2024-09-16,27,0.012
2024-2025,ambient,ambient,2024_t7_c04,2,2024-10-30,71,0.0794
2024-2025,ambient,ambient,2024_t7_c05,0,2024-08-20,0,0.0081
2024-2025,ambient,ambient,2024_t7_c06,0,2024-08-20,0,0.0094
2024-2025,ambient,ambient,2024_t7_c06,1,2024-09-17,28,0.0116
2024-2025,ambient,ambient,2024_t7_c06,2,2024-10-28,69,0.017
2024-2025,ambient,ambient,2024_t7_c07,0,2024-08-20,0,0.0088
2024-2025,ambient,ambient,2024_t7_c07,2,2024-11-03,75,0.01
2024-2025,ambient,ambient,2024_t7_c08,0,2024-08-21,1,0.0119
2024-2025,ambient,ambient,2024_t7_c08,1,2024-08-26,6,0.0168
2024-2025,ambient,ambient,2024_t7_c08,2,2024-10-11,52,0.02
2024-2025,ambient,ambient,2024_t7_c09,0,2024-08-21,1,0.0089
2024-2025,ambient,ambient,2024_t7_c09,1,2024-09-16,27,0.0133
2024-2025,ambient,ambient,2024_t7_c09,2,2024-10-30,71,0.0254
2024-2025,ambient,ambient,2024_t7_c10,0,2024-08-21,1,0.0098
2024-2025,ambient,ambient,2024_t7_c10,1,2024-09-02,13,0.0187
2024-2025,ambient,ambient,2024_t7_c10,2,2024-10-11,52,0.0222
2024-2025,ambient,ambient,2024_t7_c11,0,2024-08-21,1,0.0075
2024-2025,ambient,ambient,2024_t7_c11,1,2024-09-18,29,0.0096
2024-2025,ambient,ambient,2024_t7_c11,2,2024-11-14,86,0.0116
2024-2025,ambient,ambient,2024_t7_c20,0,2024-08-22,2,0.0094
2024-2025,ambient,ambient,2024_t7_c20,1,2024-09-27,38,0.0121
2024-2025,ambient,ambient,2024_t7_c21,0,2024-08-22,2,0.0119
2024-2025,ambient,ambient,2024_t7_c21,1,2024-09-04,15,0.017
2024-2025,ambient,ambient,2024_t7_c22,0,2024-08-22,2,0.0134
2024-2025,ambient,ambient,2024_t7_c22,1,2024-08-28,8,0.0218
2024-2025,ambient,ambient,2024_t7_c22,2,2024-11-01,73,0.0254
2024-2025,ambient,ambient,2024_t7_c23,0,2024-08-23,3,0.0064
2024-2025,ambient,ambient,2024_t7_c23,1,2024-09-19,30,0.0081
2024-2025,ambient,ambient,2024_t7_c23,2,2024-11-02,74,0.011
2024-2025,ambient,ambient,2024_t7_c23,3,2024-11-18,90,0.0125
2024-2025,ambient,ambient,2024_t7_c24,0,2024-08-23,3,0.0091
2024-2025,ambient,ambient,2024_t7_c24,1,2024-09-17,28,0.0101
2024-2025,ambient,ambient,2024_t7_c24,2,2024-11-01,73,0.0125
2024-2025,ambient,ambient,2024_t7_c25,0,2024-08-23,3,0.0148
2024-2025,ambient,ambient,2024_t7_c25,1,2024-10-22,63,0.0236
2024-2025,ambient,ambient,2024_t7_c26,0,2024-08-23,3,0.0073
2024-2025,pH 7.55,+3C,2024_t5_c04,0,2024-08-20,0,0.0125
2024-2025,pH 7.55,+3C,2024_t5_c04,1,2024-08-27,7,0.0187
2024-2025,pH 7.55,+3C,2024_t5_c04,2,2024-09-27,38,0.0305
2024-2025,pH 7.55,+3C,2024_t5_c04,3,2024-10-29,70,0.0398
2024-2025,pH 7.55,+3C,2024_t5_c04,4,2024-12-16,118,0.0325
2024-2025,pH 7.55,+3C,2024_t5_c05,0,2024-08-20,0,0.0111
2024-2025,pH 7.55,+3C,2024_t5_c05,1,2024-09-20,31,0.0274
2024-2025,pH 7.55,+3C,2024_t5_c05,2,2024-10-20,61,0.036
2024-2025,pH 7.55,+3C,2024_t5_c05,3,2024-12-02,104,0.0481
2024-2025,pH 7.55,+3C,2024_t5_c06,0,2024-08-20,0,0.0106
2024-2025,pH 7.55,+3C,2024_t5_c06,1,2024-09-03,14,0.0179
2024-2025,pH 7.55,+3C,2024_t5_c06,2,2024-09-27,38,0.0248
2024-2025,pH 7.55,+3C,2024_t5_c06,3,2024-10-21,62,0.0314
2024-2025,pH 7.55,+3C,2024_t5_c06,4,2024-11-26,98,0.0388
2024-2025,pH 7.55,+3C,2024_t5_c06,5,2025-01-26,159,0.0581
2024-2025,pH 7.55,+3C,2024_t5_c06,6,2025-04-03,226,0.0591
2024-2025,pH 7.55,+3C,2024_t5_c07,0,2024-08-20,0,0.0119
2024-2025,pH 7.55,+3C,2024_t5_c07,1,2024-08-23,3,0.0221
2024-2025,pH 7.55,+3C,2024_t5_c07,2,2024-09-25,36,0.0516
2024-2025,pH 7.55,+3C,2024_t5_c07,3,2024-11-01,73,0.0292
2024-2025,pH 7.55,+3C,2024_t5_c07,4,2024-12-22,124,0.0353
2024-2025,pH 7.55,+3C,2024_t5_c07,5,2025-02-28,192,0.0354
2024-2025,pH 7.55,+3C,2024_t5_c08,0,2024-08-21,1,0.0101
2024-2025,pH 7.55,+3C,2024_t5_c08,1,2024-09-10,21,0.0138
2024-2025,pH 7.55,+3C,2024_t5_c08,2,2024-10-12,53,0.0312
2024-2025,pH 7.55,+3C,2024_t5_c08,3,2024-11-16,88,0.019
2024-2025,pH 7.55,+3C,2024_t5_c08,4,2025-01-18,151,0.0214
2024-2025,pH 7.55,+3C,2024_t5_c08,5,2025-03-12,204,0.0269
2024-2025,pH 7.55,+3C,2024_t5_c08,6,2025-05-04,257,0.0383
2024-2025,pH 7.55,+3C,2024_t5_c09,0,2024-08-21,1,0.0081
