Treatment,Cell,CL1,CL2,CL3,CL4,CL5,CL6,G1mm,G1%,G2mm,G2%,G3mm,G3%,G4mm,G4%,G5mm,G5%,G1-5mm,G1-5%,G1-4,G1-4%
7.5,1,2.059977,2.412111,,,,,0.35213399999999995,0.17094074351315572,,,,,,,,,,,,
7.5,2,2.634785,,,,,,,,,,,,,,,,,,,
7.5,3,2.144825,2.481709,,,,,0.33688399999999996,0.15706829228491834,,,,,,,,,,,,
7.5,4,2.463591,,,,,,,,,,,,,,,,,,,
7.5,5,2.111634,2.490154,,,,,0.37851999999999997,0.17925454884700662,,,,,,,,,,,,
7.5,6,,,,,,,,,,,,,,,,,,,,
7.5,7,2.671412,,,,,,,,,,,,,,,,,,,
7.5,8,1.980684,,,,,,,,,,,,,,,,,,,
7.5,9,2.106166,2.542796,,,,,0.4366300000000001,0.20731034495856457,,,,,,,,,,,,
7.5,10,2.188652,2.550997,,,,,0.36234500000000036,0.1655562419242531,,,,,,,,,,,,
7.5,11,2.184523,2.541632,,,,,0.3571089999999999,0.16347230036030744,,,,,,,,,,,,
7.5,12,2.124639,2.391172,,,,,0.2665329999999999,0.12544860562194324,,,,,,,,,,,,
7.5,13,2.101184,2.391653,,,,,0.29046899999999987,0.1382406300447747,,,,,,,,,,,,
7.5,14,2.184124,2.563749,,,,,0.3796249999999999,0.17381110230005248,,,,,,,,,,,,
7.5,16,2.56133,,,,,,,,,,,,,,,,,,,
7.5,18,2.220038,2.443577,,,,,0.2235389999999997,0.10069151969470778,,,,,,,,,,,,
7.5,19,2.086591,2.39315,,,,,0.306559,0.14691858634490423,,,,,,,,,,,,
7.5,20,2.509524,,,,,,,,,,,,,,,,,,,
7.5,23,2.157426,2.440994,,,,,0.2835679999999998,0.13143811189816004,,,,,,,,,,,,
7.5,24,2.145319,,,,,,,,,,,,,,,,,,,
7.5,25,2.268516,2.632097,,,,,0.36358099999999993,0.160272618751642,,,,,,,,,,,,
7.5,26,2.180683,2.515669,,,,,0.3349859999999998,0.1536151746952674,,,,,,,,,,,,
7.5,27,2.163767,2.41578,,,,,0.2520129999999998,0.11646956442167748,,,,,,,,,,,,
7.5,28,2.101563,2.529924,,,,,0.42836099999999977,0.20382972102192498,,,,,,,,,,,,
7.5,29,,,,,,,,,,,,,,,,,,,,
7.5,30,2.800917,,,,,,,,,,,,,,,,,,,
